mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.09754605293273926,0.011661187452131674,0.0019847393035888673,0.0016650495688233318,1,{'Boost__n_estimators': 1},0.7603482848344514,0.812197130648588,0.777852044591917,0.8035974314291853,0.8142202382373304,0.7936430259482945,0.021093418562816157,12,0.8254219283378291,0.8082702728509704,0.816197094841374,0.8020651810651452,0.8167252512472847,0.8137359456685207,0.007970391707031125
0.15037198066711427,0.020189720941846973,0.0037972450256347655,0.0009815589576698102,2,{'Boost__n_estimators': 2},0.7503282327946338,0.812197130648588,0.777852044591917,0.8035974314291853,0.8142202382373304,0.7916390155403309,0.024381192607668856,13,0.8166924279678213,0.8082702728509704,0.816197094841374,0.8020651810651452,0.8167252512472847,0.8119900455945193,0.005908865899887386
0.27894139289855957,0.03988543913653198,0.0014007091522216797,0.0017445874877410087,5,{'Boost__n_estimators': 5},0.7666324508844382,0.8042658327564394,0.7947649853190424,0.8106216132343462,0.8228975197536464,0.7998364803895824,0.018952453282089336,11,0.8236449953450624,0.8035556563462318,0.8294800792533003,0.818218710462868,0.8201836313289251,0.8190166145472775,0.008624915188621091
0.4836895942687988,0.04597818645668766,0.00400853157043457,0.002600049041631607,10,{'Boost__n_estimators': 10},0.769699935547015,0.813617483469003,0.8007507579193621,0.8302260628774678,0.8148170251366642,0.8058222529899024,0.020335974827473298,9,0.8224290420376693,0.8074825141438494,0.8354658518536202,0.8223723472822325,0.8317060943878162,0.8238911699410375,0.009682302730566007
0.9576699256896972,0.05340459831439427,0.00842595100402832,0.0009868593187331149,20,{'Boost__n_estimators': 20},0.7759841015970018,0.8172817550309135,0.8008999546441957,0.8056086032799409,0.8036690458571055,0.8006886920818316,0.013555657090297497,10,0.8248042538970185,0.8040957484901291,0.8340813062471653,0.8213040987324246,0.8226155379437112,0.8213801890620896,0.009729608010871221
1.3587803840637207,0.08719860389243238,0.010147905349731446,0.0006013981432178668,30,{'Boost__n_estimators': 30},0.7454644195650618,0.8264125945907237,0.8028454799360245,0.8360626387529542,0.8237210856747272,0.8069012437038984,0.03257274762302591,8,0.812558186722685,0.8129640018142321,0.8357463416963071,0.8245610632355399,0.8268616767324725,0.8225382540402473,0.00881482126530992
1.6695074081420898,0.05263131323760135,0.014757776260375976,0.0046261531596394675,40,{'Boost__n_estimators': 40},0.7765092740684157,0.8234943066529804,0.8038182425819389,0.8253622496478956,0.8237210856747272,0.8105810317251916,0.01878572903697907,7,0.8311466066696904,0.8119539399871095,0.8379723568308228,0.8265244921343485,0.8276285478981165,0.8270451887040174,0.008539108305943854
1.936907958984375,0.17163359099619047,0.01623053550720215,0.004964387230987916,50,{'Boost__n_estimators': 50},0.7899011720894703,0.8357642453032871,0.8038182425819389,0.8349406793822063,0.8237210856747272,0.8176290850063259,0.018029222579863325,6,0.8406668496813158,0.8196226516435512,0.8379723568308228,0.8260948055668283,0.829162290229405,0.8307037907903846,0.007726644916266292
2.161384344100952,0.32753803182586433,0.016634368896484376,0.0038386966145827414,60,{'Boost__n_estimators': 60},0.7981308634312859,0.8418992146284406,0.8038182425819389,0.8326967606407105,0.8237210856747272,0.8200532333914206,0.016701640932177273,5,0.8442580148480581,0.818294800792533,0.8379723568308228,0.8239254851877492,0.829162290229405,0.8307225895777135,0.009368585365003618
2.4070229053497316,0.5215420664098062,0.016660737991333007,0.005379719048905567,70,{'Boost__n_estimators': 70},0.7981308634312859,0.8457902652120981,0.8038182425819389,0.836886204674035,0.8237210856747272,0.8216693323148171,0.01838642554774581,1,0.8447816953522236,0.8199225370604666,0.8379723568308228,0.8267124800076388,0.829162290229405,0.8317102718961114,0.008723492944782711
2.524806833267212,0.623102290483286,0.01854104995727539,0.0048445009580016934,80,{'Boost__n_estimators': 80},0.7929686567520471,0.8448175025661838,0.8038182425819389,0.836886204674035,0.8237210856747272,0.8204423384497865,0.019526716543850523,4,0.8454366689742426,0.8211384903678596,0.8379723568308228,0.8267124800076388,0.829162290229405,0.8320844572819937,0.008604188630852664
2.4557355403900147,0.6239184829777896,0.01968107223510742,0.0012695496613973924,90,{'Boost__n_estimators': 90},0.7979816667064524,0.8448175025661838,0.8038182425819389,0.836886204674035,0.8237210856747272,0.8214449404406675,0.018172043530059794,3,0.8454366689742426,0.8211384903678596,0.8379723568308228,0.8267124800076388,0.829162290229405,0.8320844572819937,0.008604188630852664
2.1334547996520996,0.5848034534632068,0.01112957000732422,0.005388221743541501,100,{'Boost__n_estimators': 100},0.7989544293523668,0.8448175025661838,0.8038182425819389,0.836886204674035,0.8237210856747272,0.8216394929698505,0.01792330578629485,2,0.8454366689742426,0.8211384903678596,0.8379723568308228,0.8267124800076388,0.829162290229405,0.8320844572819937,0.008604188630852664
