mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.08512921333312988,0.01883604277030682,0.011368656158447265,0.0045607969779704605,1,{'SVM__max_iter': 1},0.5625,0.48125,0.5,0.540625,0.571875,0.53125,0.03518922065064812,6,0.7046875,0.703125,0.66796875,0.70703125,0.69609375,0.6957812499999999,0.014376698269248056
0.09097709655761718,0.0070585499603224265,0.00703582763671875,0.003150216421755824,2,{'SVM__max_iter': 2},0.575,0.45625,0.540625,0.525,0.55,0.529375,0.04,9,0.71015625,0.72265625,0.66875,0.70859375,0.696875,0.70140625,0.018257864315822943
0.11057910919189454,0.02520195209994835,0.006633663177490234,0.002660319695787184,4,{'SVM__max_iter': 4},0.565625,0.50625,0.553125,0.546875,0.496875,0.53375,0.02712816801776339,4,0.71484375,0.7296875,0.709375,0.734375,0.70625,0.7189062500000001,0.011162856937182348
0.13298311233520507,0.02001524033163046,0.005042839050292969,0.003477102378792214,8,{'SVM__max_iter': 8},0.565625,0.4875,0.55625,0.55,0.546875,0.54125,0.027627545131625447,1,0.71484375,0.76796875,0.70390625,0.725,0.7171875,0.72578125,0.022146749549877522
0.15253243446350098,0.008615877795005812,0.007027530670166015,0.0018333314397857734,16,{'SVM__max_iter': 16},0.553125,0.509375,0.553125,0.509375,0.528125,0.530625,0.019605483926697635,7,0.7234375,0.73515625,0.7078125,0.74609375,0.70625,0.7237499999999999,0.015425286160230539
0.212593936920166,0.009611407093521656,0.007160472869873047,0.0015966203843340728,32,{'SVM__max_iter': 32},0.534375,0.465625,0.559375,0.54375,0.58125,0.536875,0.039001201904556734,3,0.7125,0.7453125,0.73125,0.72578125,0.71328125,0.7256250000000001,0.0121975119132961
0.3142725944519043,0.025097468261109503,0.004623985290527344,0.002116622312795115,64,{'SVM__max_iter': 64},0.534375,0.484375,0.521875,0.565625,0.521875,0.525625,0.026100766272276393,10,0.71875,0.746875,0.71640625,0.74140625,0.73828125,0.7323437500000001,0.012388171651821739
0.5374808788299561,0.033746262468740504,0.006272697448730468,0.003550442067083878,128,{'SVM__max_iter': 128},0.540625,0.478125,0.534375,0.509375,0.50625,0.51375,0.022325713874364696,12,0.74453125,0.75625,0.7421875,0.7453125,0.71171875,0.74,0.014949459124831253
0.8496634006500244,0.013329473286518019,0.005626535415649414,0.0029618773863010935,256,{'SVM__max_iter': 256},0.559375,0.4875,0.54375,0.525,0.5375,0.530625,0.024238399287081634,7,0.7484375,0.76796875,0.76015625,0.73515625,0.74296875,0.7509375,0.011780048015606738
1.6404425621032714,0.07315523619076957,0.005884361267089844,0.0030502662940317944,512,{'SVM__max_iter': 512},0.540625,0.49375,0.540625,0.515625,0.5375,0.525625,0.018477181873868098,10,0.771875,0.81015625,0.77578125,0.79609375,0.76171875,0.7831250000000001,0.01753623480824777
2.7949405193328856,0.0901673105200511,0.003614521026611328,0.00232227286443872,1024,{'SVM__max_iter': 1024},0.571875,0.475,0.559375,0.528125,0.559375,0.53875,0.035,2,0.7953125,0.83203125,0.79140625,0.80859375,0.7984375,0.8051562500000001,0.014595790810195935
3.873789644241333,0.1986705842918243,0.0040299415588378905,0.0033387570756347857,2048,{'SVM__max_iter': 2048},0.565625,0.4875,0.55,0.521875,0.54375,0.53375,0.027056076027391723,4,0.80234375,0.82578125,0.79609375,0.81640625,0.8109375,0.8103125,0.01041614582031184
