,0,1,2,3,4,5,6,7,8,9
2,0.9961802133773061,0.9961771874401844,0.996019225998293,0.9960555143187455,0.9960557844993114,0.9959431000977053,0.9960261822139257,0.9960283137190326,0.9959953370744956,0.9959425891392711
3,0.993891891299641,0.9939586197674987,0.9939055302955432,0.9938737298154151,0.9940195480969043,0.9941211240857046,0.9938793766243568,0.9940797752579658,0.9938305711617255,0.9939149688246577
4,0.992174498943781,0.9920346445175807,0.9919125236428055,0.9921227151333039,0.9918145662937039,0.9921043071681036,0.9920312448033283,0.9918478681745111,0.9922186539715812,0.991724726763032
5,0.9902885608030946,0.9900006990290009,0.9900640050568951,0.9901150192211385,0.9903934710311015,0.9904225638312396,0.9900572750378601,0.9899438990227095,0.989536275194751,0.9901843991407022
6,0.9881529777239837,0.9879569899803406,0.987824668975444,0.9882749014390285,0.988223877056362,0.9878383565310773,0.9882002005416894,0.9879906085457275,0.9878514251962667,0.987994445176178
7,0.9861059890224696,0.9863589060543694,0.9859030594471389,0.9862994469231249,0.9862299661692466,0.9856069496647862,0.9858892540854254,0.9859123916892325,0.98640822863879,0.9859712945023393
8,0.9842133146739377,0.9841979745348004,0.9834901795454419,0.9838544875112858,0.9839567041354174,0.9837077210204374,0.9841132588664134,0.9841084813139064,0.9842917729627476,0.9841939528524327
9,0.9822076022177423,0.9820667405601801,0.9820105489827724,0.982218670244722,0.9815731227164296,0.9823790222738286,0.9816893782578182,0.9819372965074914,0.9819389546274958,0.9819735389430164
10,0.9801628197777554,0.980106546919909,0.9802145611840626,0.9798020242408585,0.979790569037204,0.9797750023499537,0.9796219923512354,0.9797116035941817,0.9803853425852093,0.9801369316505445
15,0.9694961183032607,0.9696401473544856,0.9693521457035803,0.9699811453483812,0.9697931605893887,0.9697679608282771,0.9698957890284123,0.9697801672301876,0.9697898686446065,0.9700758802893462
20,0.9599198549633693,0.9603630046947206,0.9598458560129571,0.9602185031225577,0.9607660263546541,0.9602511350060878,0.9601761965956372,0.9600265784301,0.9590492895260884,0.9601641828582582
25,0.9505846059100268,0.949903020155662,0.9502605342123004,0.9506816123980668,0.9492632083787798,0.9500477061677148,0.9497414548601719,0.949998178079628,0.9493305694953041,0.9511285748032325
30,0.9392718084378213,0.9398517254988209,0.9403483230067031,0.9399476746883445,0.9398166234118619,0.9400043168680633,0.9390474909738478,0.9396317760992253,0.9400510405261544,0.9395862659694166
35,0.9296868951516487,0.9294047932163597,0.9293401059994737,0.9305279991419728,0.9300548845617473,0.9308635202439066,0.9302040753455387,0.9301128143495921,0.9302813397424964,0.9296224652218328
40,0.9204777852526508,0.9201184937374971,0.920548421461051,0.9199297278478028,0.9202780020164768,0.9194462943406084,0.9210370470678164,0.9207737397340551,0.9191174848415357,0.920623568107909
45,0.910364385613127,0.9102941492869027,0.9096933960129449,0.9096628323589476,0.9098086615254414,0.9094776797000039,0.9104190837714989,0.9091530121574335,0.9099478432247682,0.9104273759939165
50,0.8997350535647602,0.9002399325258741,0.9000083596188612,0.9000129140455989,0.9003680671571895,0.9006347274972846,0.9000248885422729,0.8994862922989907,0.9000958589222632,0.9007935645360606
55,0.8902260394674325,0.8896659291546706,0.8897101225288229,0.8896179096345367,0.890262471641807,0.890299604389898,0.889680205239996,0.889756926620148,0.8904541001293096,0.8905931152596912
60,0.8797175279189116,0.8804895615778702,0.8810192561786501,0.8796887844707296,0.8799606643410188,0.8784587296533565,0.8790605336057981,0.8796824047269689,0.8799384308618533,0.879830838927311
